CLERK,CLERK_ID,QUEUE,SITE,SHIFT,YEARS_EXPERIENCE,BASELINE_TASKS_PER_HOUR,BASELINE_ERROR_RATE,TRAINING_SCORE,TREATMENT,SHIFT_START,SHIFT_END,TASKS_COMPLETED,ERROR_RATE,TREATMENT_BINARY,GROUP,SHIFT_DURATION_HRS,TASKS_PER_HOUR
Leah Kim,LPC-2125,Auto,Irvine Ops Center,Day,2.1,8.3,2.7,90.0,AI Extract,2026-02-18 07:56:00,2026-02-18 15:50:00,76.0,3.6,1,Treatment (AI),7.9,9.62
Rosa Young,LPC-2126,Auto,Irvine Ops Center,Day,4.3,9.1,2.4,88.0,AI Extract,2026-02-21 08:19:00,2026-02-21 16:26:00,82.0,3.4,1,Treatment (AI),8.12,10.1
Samuel Hale,LPC-2127,Auto,Irvine Ops Center,Day,3.9,8.5,2.3,87.0,None,2026-02-21 08:11:00,2026-02-21 16:00:00,66.0,2.4,0,Control (Manual),7.82,8.44
Victor Kim,LPC-2128,Auto,Irvine Ops Center,Day,6.0,8.7,1.9,89.0,Control,2026-02-21 08:11:00,2026-02-21 16:07:00,66.0,1.9,0,Control (Manual),7.93,8.32
Janelle Usman,LPC-2129,Auto,Irvine Ops Center,Day,4.4,8.3,1.7,99.0,Manual Entry,2026-02-21 07:55:00,2026-02-21 15:37:00,63.0,1.6,0,Control (Manual),7.7,8.18
Priya Ellison,LPC-2130,Auto,Irvine Ops Center,Day,2.4,7.9,1.9,87.0,Assist-On,2026-02-19 07:54:00,2026-02-19 16:05:00,72.0,2.9,1,Treatment (AI),8.18,8.8
Victor Nguyen,LPC-2131,Auto,Irvine Ops Center,Day,3.5,8.6,2.2,86.0,None,2026-02-21 07:42:00,2026-02-21 15:57:00,69.0,2.4,0,Control (Manual),8.25,8.36
Talia Nguyen,LPC-2132,Auto,Irvine Ops Center,Day,3.4,9.1,2.3,87.0,Treatment,2026-02-20 08:05:00,2026-02-20 16:10:00,77.0,2.8,1,Treatment (AI),8.08,9.53
Kevin Choi,LPC-2133,Auto,Irvine Ops Center,Day,4.2,9.2,2.1,84.0,None,2026-02-18 07:56:00,2026-02-18 15:55:00,77.0,1.9,0,Control (Manual),7.98,9.65
Janelle Valdez,LPC-2134,Auto,Irvine Ops Center,Day,3.1,8.6,2.0,92.0,Manual Entry,2026-02-17 07:44:00,2026-02-17 15:42:00,70.0,2.5,0,Control (Manual),7.97,8.78
